lab_categoria,variable,pregunta,Codigo,sub_cat,Desglose,Porcentaje,seccion
Muy satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",1,Nacional,Nacional,25.80179452,Satisfacción y trato
Satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",2,Nacional,Nacional,37.49222567,Satisfacción y trato
Ni satisfecho(a) ni insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",3,Nacional,Nacional,13.86678901,Satisfacción y trato
Insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",4,Nacional,Nacional,11.57045939,Satisfacción y trato
Muy insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",5,Nacional,Nacional,10.23471406,Satisfacción y trato
No quiero responder,sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",96,Nacional,Nacional,0.58412887,Satisfacción y trato
No sé,sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",99,Nacional,Nacional,0.44988847,Satisfacción y trato
Excelente,btratou,"En general, ¿cómo califica el trato que recibió en la unidad médica en su última visita?",1,Nacional,Nacional,26.50398857,Satisfacción y trato
Bueno,btratou,"En general, ¿cómo califica el trato que recibió en la unidad médica en su última visita?",2,Nacional,Nacional,40.31303576,Satisfacción y trato
Regular,btratou,"En general, ¿cómo califica el trato que recibió en la unidad médica en su última visita?",3,Nacional,Nacional,20.75551417,Satisfacción y trato
Malo,btratou,"En general, ¿cómo califica el trato que recibió en la unidad médica en su última visita?",4,Nacional,Nacional,6.40927502,Satisfacción y trato
Pésimo,btratou,"En general, ¿cómo califica el trato que recibió en la unidad médica en su última visita?",5,Nacional,Nacional,5.79707436,Satisfacción y trato
No quiero responder,btratou,"En general, ¿cómo califica el trato que recibió en la unidad médica en su última visita?",96,Nacional,Nacional,0.1377356,Satisfacción y trato
No sé,btratou,"En general, ¿cómo califica el trato que recibió en la unidad médica en su última visita?",99,Nacional,Nacional,0.08337652,Satisfacción y trato
Todos,totmed,"De las medicinas que acudió a surtir, ¿recuerda cuántos medicamentos le dieron en la farmacia de la unidad?",1,Nacional,Nacional,58.39988201,Surtimiento de medicamentos
La mitad,totmed,"De las medicinas que acudió a surtir, ¿recuerda cuántos medicamentos le dieron en la farmacia de la unidad?",2,Nacional,Nacional,5.45908332,Surtimiento de medicamentos
Algunos,totmed,"De las medicinas que acudió a surtir, ¿recuerda cuántos medicamentos le dieron en la farmacia de la unidad?",3,Nacional,Nacional,8.04031465,Surtimiento de medicamentos
Me faltó alguno,totmed,"De las medicinas que acudió a surtir, ¿recuerda cuántos medicamentos le dieron en la farmacia de la unidad?",4,Nacional,Nacional,24.60822152,Surtimiento de medicamentos
Ninguno,totmed,"De las medicinas que acudió a surtir, ¿recuerda cuántos medicamentos le dieron en la farmacia de la unidad?",5,Nacional,Nacional,2.52560623,Surtimiento de medicamentos
No quiero responder,totmed,"De las medicinas que acudió a surtir, ¿recuerda cuántos medicamentos le dieron en la farmacia de la unidad?",96,Nacional,Nacional,0.27894211,Surtimiento de medicamentos
No sé,totmed,"De las medicinas que acudió a surtir, ¿recuerda cuántos medicamentos le dieron en la farmacia de la unidad?",99,Nacional,Nacional,0.68795016,Surtimiento de medicamentos
Excelente,imsscovid,¿Cómo califica la actuación del IMSS ante la actual contingencia sanitaria Covid-19?,1,Nacional,Nacional,13.00051229,Actuación del IMSS ante la contingencia sanitaria por Covid-19
Buena,imsscovid,¿Cómo califica la actuación del IMSS ante la actual contingencia sanitaria Covid-19?,2,Nacional,Nacional,45.03077417,Actuación del IMSS ante la contingencia sanitaria por Covid-19
